Make,Model,Range,MSRP
Chevrolet,Silverado EV Work Truck Standard Range,633 km,"63,999"
Tesla,Model 3 Long Range RWD,584 km,"59,990"
Kia,EV4 Wind FWD,552 km,"42,995"
Hyundai,IONIQ 6 Preferred Long Range,550 km,"54,999"
Tesla,Model Y Premium AWD,542 km,"64,990"
Hyundai,IONIQ 9 Essential,539 km,"59,999"
BMW,i4 eDrive40,536 km,"64,990"
Hyundai,IONIQ 9 Preferred,515 km,"64,999"
Chevrolet,Equinox EV RS FWD,513 km,"51,199"
Kia,EV6 Wind,513 km,"55,995"
Chevrolet,Equinox EV LT FWD,513 km,"46,199"
Hyundai,IONIQ 6 Preferred Long Range AWD,509 km,"58,399"
Polestar,2 Long Range Single Motor,505 km,"54,950"
Hyundai,IONIQ 5 Preferred Long Range,504 km,"55,499"
Cadillac,OPTIQ LUXURY AWD,494 km,"57,399"
Cadillac,OPTIQ SPORT AWD,494 km,"57,399"
Cadillac,OPTIQ PREMIUM SPORT AWD,494 km,"60,499"
Chevrolet,Equinox EV RS AWD,494 km,"54,699"
Cadillac,OPTIQ PREMIUM LUXURY AWD,494 km,"60,499"
Chevrolet,Equinox EV LT AWD,494 km,"49,699"
Kia,EV9 Wind RWD,491 km,"62,995"
Nissan,LEAF S+,488 km,"44,998"
Cadillac,OPTIQ LUXURY,486 km,"57,399"
Cadillac,OPTIQ PREMIUM SPORT,486 km,"60,499"
Cadillac,OPTIQ PREMIUM LUXURY,486 km,"60,499"
Cadillac,OPTIQ SPORT RWD,486 km,"57,399"
BMW,i4 xDrive40,484 km,"69,900"
Jeep,Wagoneer S Limited,483 km,"59,995"
Jeep,Wagoneer S Premium,483 km,"59,995"
Polestar,4 Long Range Single Motor,482 km,"64,900"
Lexus,RZ 350E,478 km,"59,990"
Kia,EV6 Land,475 km,"58,495"
Jeep,Wagoneer S,473 km,"59,995"
Honda,Prologue EX,473 km,"59,990"
Honda,Prologue EX-L,473 km,"64,990"
Toyota,bZ XLE AWD,468 km,"53,390"
Nissan,ARIYA SL+ FWD,465 km,"55,398"
<a class="evc-card EVCard" href="/vehicles/Hyundai_IONIQ_5_Preferred_Long_Range_Ultimate_Package_AWD_BEV_2026_CA">
    Hyundai,IONIQ 5 Preferred Long Range w/Ultimate Package,463 km,"63,499"
    Hyundai,IONIQ 5 Preferred Long Range,463 km,"57,499"
    Audi,Q4 e-tron 45,463 km,"59,990"
    Honda,Prologue Touring,455 km,"69,990"
    Chevrolet,Blazer EV RS FWD,455 km,"59,399"
    Chevrolet,Blazer EV RS AWD,455 km,"62,899"
    Chevrolet,Blazer EV LT FWD,455 km,"55,699"
    Chevrolet,Blazer EV LT AWD,455 km,"59,199"
    Polestar,2 Long Range Dual Motor,447 km,"64,650"
    Subaru,Solterra,446 km,"52,495"
    Ford,Mustang Mach E GT Extended Range AWD,446 km,"64,995"
    Nissan,ARIYA SL+ AWD,438 km,"57,398"
    Kia,EV6 Land w/GT-Line Limited Pkg,435 km,"64,995"
    Kia,EV6 Land w/Premium Pkg,435 km,"59,995"
    Kia,EV6 Land w/GT-Line Pkg,435 km,"61,495"
    Hyundai,IONIQ 6 Preferred Long Range AWD with Ultimate Package,435 km,"64,999"
    Polestar,4 Long Range Dual Motor,434 km,"69,900"
    Dodge,Charger Daytona R/T,431 km,"53,395"
    Volvo,EC40 Core,431 km,"63,600"
    Genesis,GV60,430 km,"59,500"
    VinFast,VF8 Eco,425 km,"53,600"
    Hyundai,KONA Electric Preferred,420 km,"43,999"
    Volvo,EX30 Single Motor Extended Range Plus,420 km,"53,600"
    Lexus,RZ 450E AWD,418 km,"66,990"
    Volvo,EX40 Core,418 km,"63,600"
    Ford,Mustang Mach E Select Standard Range RWD,415 km,"46,995"
    Ford,Mustang Mach E Premium Standard Range RWD,415 km,"50,995"
    Audi,Q4 e-tron 55,414 km,"64,990"
    Volvo,EX30 Single Motor Extended Range Core,414 km,"49,950"
    Kia,Niro EV Wind,407 km,"45,595"
    Toyota,bZ4X LE,406 km,"46,515"
    Genesis,GV60 Plus,406 km,"64,500"
    Volvo,EX30 Twin Motor Performance Plus,402 km,"56,600"
    Kia,EV4 Light FWD,391 km,"38,995"
    Kia,EV6 Light,381 km,"48,995"
    Ford,Mustang Mach E Premium Standard Range AWD,380 km,"52,995"
    Toyota,bZ XLE FWD,380 km,"45,990"
    Ford,Mustang Mach E Select Standard Range AWD,380 km,"48,995"
    Kia,EV9 Light RWD,370 km,"59,995"
    Toyota,bZ4X LE,367 km,"47,016"
    Toyota,bZ4X XLE,367 km,"51,845"
    VinFast,VF8 Plus,354 km,"59,200"
    Dodge,Charger Daytona Scat Pack,348 km,"53,395"
    Nissan,ARIYA SV FWD,348 km,"52,898"
    MINI,Countryman SE ALL4,341 km,"59,990"
    Nissan,ARIYA SL AWD,330 km,"53,998"
    Mercedes-Benz,EQB SUV 300 4MATIC,330 km,"64,990"
    Fiat,500e Icona,227 km,"39,995"
    Fiat,500e Pop,227 km,"39,995"
