Country,Year,ISO3166_alpha3,biodiesel_cons_ej,biofuels_cons_ej,ethanol_cons_ej,coalcons_ej,gascons_ej,oilcons_ej,nuclear_ej,biogeo_ej,hydro_ej,solar_ej,wind_ej,electbyfuel_coal,electbyfuel_gas,electbyfuel_oil
Argentina,2000,ARG,0.0,0.0,0.0,0.027045531,1.162682056,0.971264243,0.067385455,0.004211218,0.10287087,1.296E-07,0.000125129,1.781,48.8798971,2.883
Argentina,2001,ARG,0.0,0.0,0.0,0.022164669,1.088460922,0.900594056,0.077007273,0.003959981,0.131688624,1.548E-07,0.0001777,1.362,43.25819528,1.004
Argentina,2002,ARG,0.0,0.0,0.0,0.016510667,1.059752703,0.851566434,0.063501818,0.005781602,0.128803811,1.692E-07,0.000264258,0.811,40.70573991,0.759
Argentina,2003,ARG,0.0,0.0,0.0,0.020137914,1.210645795,0.866716087,0.082538182,0.00960653,0.121682076,0.000000234,0.000280634,0.937,47.7472489,1.011
Argentina,2004,ARG,0.0,0.0,0.0,0.034271348,1.325128555,0.939693987,0.085843636,0.009463771,0.109664651,0.000000252,0.000260806,1.678,55.20938965,4.039
Argentina,2005,ARG,0.0,0.0,0.0,0.039461922,1.414404035,0.981085956,0.074978182,0.00999818,0.12317809,2.916E-07,0.000258191,2.18,55.69967854,5.746
Argentina,2006,ARG,0.0,0.0,0.0,0.035725754,1.463418007,1.032628775,0.084229091,0.01141428,0.136854767,0.000000324,0.000250704,1.994,56.39931299,8.036
Argentina,2007,ARG,0.0,0.0,0.0,0.051697299,1.537639141,1.137741327,0.079134545,0.011682016,0.11239254,3.9204E-07,0.000221735,2.341,60.17533855,10.97
Argentina,2008,ARG,0.0,0.0,0.0,0.063057847,1.554794073,1.145121694,0.080661818,0.013156146,0.112318906,5.1732E-07,0.000151024,1.937,65.41147726,14.37
Argentina,2009,ARG,0.0,0.0,0.0,0.034635376,1.506080151,1.08601594,0.089269091,0.012970208,0.124625471,2.73902E-07,0.000132594,1.755,61.7019852,14.276
Argentina,2010,ARG,0.0,0.0213242902,0.0,0.048499487,1.515146971,1.172643185,0.078654545,0.01502578,0.120095669,3.09204E-07,9.12658E-05,3.013,63.8053445,16.663
Argentina,2011,ARG,0.0,0.03122360888,0.0,0.052627124,1.578232408,1.217507601,0.069818182,0.015158365,0.112272947,5.8104E-06,9.5726E-05,2.911,67.86065702,18.992
Argentina,2012,ARG,0.0,0.037429558110000004,0.0,0.049209051,1.643911481,1.299372673,0.06984,0.015852039,0.104991837,2.94227E-05,0.001331503,2.644,76.22908723,19.212
Argentina,2013,ARG,0.0,0.04284863081,0.0,0.053781491,1.656996846,1.478269815,0.067712727,0.016657184,0.117976964,5.42667E-05,0.001632078,2.378,74.70170677,20.827
